%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.230000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21715271E+04   0.60378149E+02   0.14531697E+02   0.00000000E+00   0.00000000E+00   0.12611103E-05  -0.34162765E-06   0.49049957E-07   0.13993222E+02   0.48500000E-13
%
  0.232500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21715412E+04   0.60387647E+02   0.14531761E+02   0.00000000E+00   0.00000000E+00   0.12617172E-05  -0.34149496E-06   0.49206799E-07   0.13993363E+02   0.48500000E-13
%
  0.235000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21715550E+04   0.60397035E+02   0.14531824E+02   0.00000000E+00   0.00000000E+00   0.12622660E-05  -0.34135050E-06   0.49362594E-07   0.13993501E+02   0.48500000E-13
%
  0.237500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21715687E+04   0.60406316E+02   0.14531886E+02   0.00000000E+00   0.00000000E+00   0.12627576E-05  -0.34119444E-06   0.49517360E-07   0.13993638E+02   0.48500000E-13
%
  0.240000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21715823E+04   0.60415492E+02   0.14531948E+02   0.00000000E+00   0.00000000E+00   0.12631928E-05  -0.34102704E-06   0.49671116E-07   0.13993773E+02   0.48500000E-13
%
  0.242500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21715957E+04   0.60424563E+02   0.14532008E+02   0.00000000E+00   0.00000000E+00   0.12635726E-05  -0.34084853E-06   0.49823878E-07   0.13993907E+02   0.48500000E-13
%
  0.245000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21716089E+04   0.60433530E+02   0.14532068E+02   0.00000000E+00   0.00000000E+00   0.12638975E-05  -0.34065917E-06   0.49975665E-07   0.13994039E+02   0.48500000E-13
%
